date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2022-08-10T00:00:00.000,MT,62106,701712,898203,2461,57.7
2022-08-10T00:00:00.000,DC,38730,604384,1011234,2131,78.1
2022-08-10T00:00:00.000,NY,1447622,14791468,24585247,28202,78.3
2022-08-10T00:00:00.000,MA,407040,6161579,9110211,477,80.6
2022-08-10T00:00:00.000,NJ,581220,6798631,10626083,514,76.9
2022-08-10T00:00:00.000,AS,578,25175,86198,1230,89
2022-08-10T00:00:00.000,PW,2356,37737,9047,165,85.1
2022-08-10T00:00:00.000,CT,251327,3034399,4708470,1270,80.6
2022-08-10T00:00:00.000,WV,68079,1228425,1548656,2108,58.5
2022-08-10T00:00:00.000,VA,505595,6152628,10627255,12102,74.4
2022-08-10T00:00:00.000,FL,1492935,14504135,22961794,155627,68
2022-01-14T00:00:00.000,DD2,310977,2333375,4318241,21984,0
2022-08-10T00:00:00.000,NM,120249,1688065,2346719,11123,72.5
2022-08-10T00:00:00.000,CA,2321758,29781937,47199182,15687,73.3
2022-08-10T00:00:00.000,MS,94619,1626683,2316281,3887,52.8
2022-08-10T00:00:00.000,HI,71283,1151320,1917048,651,79.6
2022-08-10T00:00:00.000,ME,144512,1248804,1633785,4162,81
2022-08-10T00:00:00.000,LA,201104,2654281,3647165,3371,54.2
2022-08-10T00:00:00.000,MI,470231,6554890,9576453,2416,60.9
2022-08-10T00:00:00.000,BP2,14174,152053,163514,32,0
2022-08-10T00:00:00.000,IL,683593,8414857,14595889,31280,69.5
2022-08-10T00:00:00.000,MO,252566,3403656,5737343,2508,57.1
2022-08-10T00:00:00.000,AL,178383,2845278,3501269,667,52
2021-10-27T00:00:00.000,DD2,269248,2140674,3757473,16186,0
2022-08-10T00:00:00.000,KS,137513,1822735,2811690,5551,63.1
2022-08-10T00:00:00.000,PA,792904,9421966,14110494,1519,70.2
2022-08-10T00:00:00.000,WY,28978,342240,401844,746,51.7
2022-08-10T00:00:00.000,DE,62796,739362,1112467,2412,70.7
2022-08-10T00:00:00.000,WI,337079,4146543,6367394,3223,66.5
2022-08-10T00:00:00.000,NE,95585,1206147,2062844,7913,64.6
2022-08-10T00:00:00.000,GA,344417,6048536,9068765,44588,55.7
2022-08-10T00:00:00.000,CO,343659,4392172,6628726,12701,71.4
2022-08-10T00:00:00.000,ND,39876,425326,686282,376,56.5
2022-08-10T00:00:00.000,TN,268356,3987026,6075484,72258,55.3
2022-08-10T00:00:00.000,OR,277866,3073086,4858361,18828,70.6
2021-02-12T00:00:00.000,WI,0,348403,515998,75,0
2022-08-10T00:00:00.000,MH,3072,59028,19831,5,40.7
2022-08-10T00:00:00.000,DD2,321027,2888090,5569739,34897,0
2022-08-10T00:00:00.000,RI,66323,893573,1375804,2145,84.5
2022-08-10T00:00:00.000,AR,125129,1897202,2408882,4010,55.4
2022-08-10T00:00:00.000,MD,367908,4675175,7790964,20092,77.1
2022-08-10T00:00:00.000,PR,153313,2827036,4467758,340,84
2022-08-10T00:00:00.000,IA,180164,2140511,3057185,710,62.8
2022-08-10T00:00:00.000,OH,631993,7116733,10959105,21338,59.2
2022-08-10T00:00:00.000,SD,42209,582199,873846,148,63.4
2022-08-10T00:00:00.000,UT,186194,1880822,3375195,422,65.1
2022-08-10T00:00:00.000,VA2,256221,3992202,3475317,39,0
2022-05-19T00:00:00.000,DD2,327722,2493824,4665704,23693,0
2022-08-10T00:00:00.000,AZ,376124,5013436,7429565,40901,62.9
2022-08-10T00:00:00.000,IH2,41729,1084982,1213489,175,42.6
2022-08-10T00:00:00.000,MN,359363,3983408,6628234,5725,70.1
2022-08-10T00:00:00.000,NH,89200,997674,1616398,201,72.1
2022-08-10T00:00:00.000,AK,45988,462252,687608,1310,63.2
2022-08-10T00:00:00.000,OK,155974,2485427,3518991,4933,58.4
2022-08-10T00:00:00.000,WA,490769,5735498,9063524,13986,73.5
2022-08-10T00:00:00.000,MP,1391,15427,95063,9,84
2022-08-10T00:00:00.000,NC,520614,6558729,10471970,1099,63.2
2022-08-10T00:00:00.000,SC,232718,3072875,4578674,2349,58.1
2021-03-04T00:00:00.000,KY,3,583067,534235,64,0
2022-08-10T00:00:00.000,TX,1538652,17411845,28973416,8875,61.5
2022-08-10T00:00:00.000,ID,89294,974621,1505491,4289,55
2022-08-10T00:00:00.000,VI,2334,44874,102037,0,54.2
2022-08-10T00:00:00.000,VT,53935,586860,853815,892,82.6
2022-08-10T00:00:00.000,FM,13701,94486,48239,98,61.6
2022-08-10T00:00:00.000,NV,188411,1753392,3169230,620,61.8
2022-08-10T00:00:00.000,IN,315756,3695759,6190272,34523,56.7
2022-08-10T00:00:00.000,GU,13619,117365,240440,404,83.8
2022-08-10T00:00:00.000,KY,240067,2793069,3779526,2484,58.3
2022-08-03T00:00:00.000,TX,1537854,17341921,28867667,6139,61.4
2022-08-03T00:00:00.000,KY,239944,2786486,3767946,2481,58.2
2021-10-26T00:00:00.000,BP2,11986,95622,129744,30,0
2022-08-03T00:00:00.000,MA,406888,6147898,9088400,476,80.5
2022-08-03T00:00:00.000,VI,2334,44833,101983,0,54
2022-08-03T00:00:00.000,MP,1388,15398,94858,9,83.9
2022-08-03T00:00:00.000,AK,45975,460982,685618,1301,63
2022-08-03T00:00:00.000,SC,232626,3064727,4565082,2346,58
2022-08-03T00:00:00.000,CT,251241,3028551,4698252,1270,80.5
